,head,qa,rel,ans
490,m.015fr,what main language do they speak in brazil,['location.country.official_language'],m.05zjd
491,m.03yk4pb,where does joey king live,['people.person.places_lived|people.place_lived.location'],m.030qb3t|m.0cv3w
492,m.0chghy,how many australian states and territories,['base.aareas.schema.administrative_area.administrative_children'],m.01k3pm|m.01p88|m.05ff6|m.05fly|m.06mtq|m.07cfx|m.0847q|m.0chgr2|m.0g39h|m.0n3z|m.0pmwq|m.0vh3
493,m.050fh,what was manchester united first name,['sports.sports_team.previously_known_as'],m.05l1ffz
494,m.01lk20,who is the governor of hawaii now,['government.government_office_or_title.office_holders|government.government_position_held.office_holder'],m.0255rj
495,m.02jq1,where did elvis presley started his career,['music.artist.origin'],m.0c_m3
496,m.098yd,what jobs did harriet tubman have,['people.person.profession'],m.0cbd2|m.0j_7vl6
497,m.05yg8kx,where does unesco operate,['organization.organization.headquarters|location.mailing_address.citytown'],m.05qtj
498,m.03zz8b,what does amanda seyfried play in,['film.actor.film|film.performance.film'],m.0_d7r_6|m.0_ylqw8|m.010bmn2w|m.0114hb3m|m.012n3_27|m.0272_vz|m.028b3px|m.02xtxw|m.03crpy6|m.03nq_dr|m.05b08zq|m.05n3l7|m.07l4yp8|m.09v12js|m.0bg8jm5|m.0c241c_|m.0cfhfz|m.0crpgp|m.0dr_xmk|m.0gw8ngw|m.0gwvbxv|m.0gww77t|m.0gy8df_|m.0h51_mt|m.0hhgh69|m.0hn82bb|m.0j2b8qf|m.0s9l4cg|m.0s9l50x|m.0v13yby|m.0vps74l
499,m.03shp,what language do people speak in iran,['location.country.languages_spoken'],m.01bcw_|m.01m3f7|m.032f6|m.03gg_5|m.03h871|m.040blg|m.04w042|m.07k3wd|m.09hn84|m.09k7n_|m.0b1g2|m.0bqk9s|m.0fq4jq|m.0fqmnr|m.0gl97|m.0jzc|m.0swlx|m.0xrg
500,m.07sz1,what is the jurisdiction of the us supreme court,['law.court.jurisdiction'],m.09c7w0
501,m.07c72,what voice does hank azaria do on the simpsons,['tv.tv_actor.starring_roles|tv.regular_tv_appearance.character'],m.0h8_q|m.0h8np|m.0h8qy|m.0h8s3|m.0h8tq|m.0h8_q|m.0h8np|m.0h8qy|m.0h8s3|m.0h8tq
502,m.03_3d,who is the leader of japan,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.0kfzb
503,m.07ssc,what time zone is the uk in right now,['location.location.time_zones'],m.03bdv
504,m.017f9r,what instrument does bela fleck play,['music.musical_group.member|music.group_membership.role'],m.018j2|m.018vs|m.03qjg|m.06ncr|m.0l14j_|m.0l14md
505,m.03lh3v,what position does ray allen,['basketball.basketball_player.position_s'],m.03558l|m.03558l
506,m.0b3wk,what branch is made up of the house of representatives,['government.governmental_body.body_this_is_a_component_of'],m.07t31
507,m.0d0mw,where did chancellorsville battle take place,['time.event.locations'],m.07z1m|m.0mn1p
508,m.01yjl,what year was the cubs last world series,['sports.sports_team.championships'],m.04tg8s
509,m.062zm5h,who is playing hawkeye in the avengers movie,['film.film.starring|film.performance.actor'],m.0blq0z
510,m.02h40lc,what country speak english as native language,['language.human_language.countries_spoken_in'],m.0160w|m.0162b|m.0162v|m.0164b|m.0165b|m.0166v|m.0167v|m.016p5p|m.019pcs|m.019rg5|m.01k0p4|m.01nln|m.01nty|m.01ppq|m.020p1|m.026wtlf|m.027nb|m.02jx1|m.02lx0|m.02wt0|m.03__y|m.03_3d|m.03_xj|m.034m8|m.034tl|m.035dk|m.035hm|m.035hr8|m.035yg|m.03h2c|m.03h64|m.03rk0|m.03rt9|m.03ryn|m.03spz|m.03t1s|m.047t_|m.04hhv|m.04hvw|m.04hzj|m.04v3q|m.04v6v|m.04wcf|m.05bmq|m.05br2|m.05cgv|m.05qkp|m.05r7t|m.05sb1|m.05v8c|m.065skb|m.0697s|m.06dfg|m.06m_5|m.06ryl|m.06s_2|m.06s0l|m.06s6l|m.06s9y|m.06t2t|m.06tw8|m.06v36|m.07dzf|m.07f9q|m.07fr_|m.07fsv|m.07ssc|m.07tp2|m.07ytt|m.07z5n|m.088q4|m.088vb|m.09pmkv|m.09wfqp|m.0chghy|m.0ctw_b|m.0d05w3|m.0d060g|m.0h44w|m.0hbgh|m.0hdx8|m.0hzlz|m.0j5g9|m.0l3h|m.0rdr4
511,m.0cw10,who was king or queen after victoria,['people.person.children'],m.0cm03
512,m.06mt91,what movie did rihanna play in,['film.actor.film|film.performance.film'],m.0bh8tgs|m.0hz4j2j|m.0mwfph8
513,m.01ypl0,what religion was mary todd lincoln,['people.person.religion'],m.019cr|m.0631_|m.0c8wxp
